Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-116.3371	187.54045	-2.2347674	-737.3771	172.73914	-0.025337452	0.15587765	0.46307862	-0.4659121	4000	-7.259846e-08	2820.6416	-0.017172938	-766.84766	0.9189443	0.015139702	0.20175	6.0	3.724546432495117
1	-208.92274	269.0954	12.243006	-701.09186	344.81818	-9.374788	0.21638504	-7.5094457	-9.602699	8000	5.4836274e-08	2110.1646	-0.0162716	-477.28772	0.9174227	0.015399644	0.22375	11.0	7.561195135116577
2	-74.65956	110.87271	12.398735	-547.1688	127.56	-15.856367	0.10402128	-14.582311	-15.913824	12000	7.2836876e-08	1138.5017	-0.0126938755	-160.13434	0.9143536	0.015810689	0.18925	10.0	11.382742643356323
3	-136.63322	210.76233	-2.9850335	-624.4954	237.3125	-19.722212	0.0676738	-18.414736	-19.755713	16000	3.838539e-08	1123.388	-0.013882843	-217.30725	0.9118037	0.016590131	0.1735	10.0	15.826730251312256
4	-67.29681	132.42601	4.9061093	-552.0554	124.72414	-24.198675	0.06409671	-23.159664	-24.222504	20000	-2.193451e-08	677.4406	-0.0445578	-61.341125	0.9094622	0.00970213	0.1975	79.0	21.125061511993408
5	-104.37164	163.44537	11.335	-523.2106	187.8125	-26.773195	0.15939794	-22.710524	-26.81453	24000	2.384186e-10	665.01	-0.015016041	-96.42828	0.89700943	0.015866105	0.1975	8.0	26.071089029312134
6	-88.6466	132.16342	4.0032344	-509.33755	173.78261	-30.002113	0.05585715	-28.908707	-30.018496	28000	-1.013279e-08	358.11536	-0.05114409	-22.730804	0.89563924	0.012793527	0.2155	79.0	31.126092672348022
7	-85.368324	132.57619	6.8351545	-485.12823	182.16667	-31.101429	3.0236502	28.215994	-31.483799	32000	-4.529953e-09	373.9909	-0.05163989	-25.042816	0.8869844	0.015014512	0.22125	72.0	35.606789112091064
8	-106.10309	152.98427	-5.3841	-508.88043	213.6875	-32.559444	3.5273602	32.177177	-32.99547	36000	-2.6226044e-09	308.32727	-0.014249519	-19.670624	0.8709584	0.01594537	0.24025	8.0	39.412110805511475
9	-63.15679	91.007126	11.586275	-444.55182	125.870964	-33.221256	5.207789	33.314785	-34.21606	40000	-3.3378602e-09	538.8231	-0.01131628	-82.8869	0.8694807	0.017292652	0.19525	7.0	44.41338491439819
10	-129.01225	170.05602	-0.87240803	-503.95837	234.29411	-30.206476	5.866296	15.616311	-34.39611	44000	-1.4781952e-08	363.85956	-0.010893653	-113.834625	0.86798483	0.01786741	0.20525	6.0	48.999035596847534
11	-47.169228	73.98916	4.234515	-427.48215	105.945946	-35.011005	5.0368805	31.609596	-36.47661	48000	1.168251e-08	473.55377	-0.011857274	-147.41565	0.8667566	0.017488174	0.219	6.0	52.668718338012695
12	-71.3736	117.51357	4.5117807	-508.59018	152.96153	-25.448532	6.281762	15.213944	-35.33256	52000	1.9073487e-09	352.94736	-0.012042463	-132.53577	0.8654762	0.015753364	0.23325	7.0	56.34901309013367
