Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.264425	11.065881	34.742355	4.433189	1000.0	-0.04914943	0.20468363	0.47293848	-0.5066915	4000	9.953975e-09	44.76929	-0.0128889885	-23.866867	0.918941	0.017261198	0.2365	6.0	2.423572540283203
1	15.014692	11.381735	29.75475	-2.2109735	1000.0	-1.2237129	2.9003384	8.718401	-6.901957	8000	-8.225441e-09	13.729122	-0.011765077	-6.416945	0.91927886	0.017358227	0.2235	5.0	4.758265256881714
2	20.420647	1.0708399	21.53141	19.172619	1000.0	-1.5940049	1.8173616	9.826649	-3.291143	12000	2.157688e-08	6.9368896	-0.0041515054	-5.3591905	0.9188803	0.015912535	0.3095	6.0	7.4926598072052
3	15.135476	7.7821746	26.257019	4.5629263	1000.0	0.2573941	2.56008	12.982223	-2.6287916	16000	1.0967255e-08	2.7845223	-0.009467061	-0.6765108	0.91767997	0.003452446	0.05725	79.0	10.101794242858887
4	17.565104	3.94613	24.224371	14.437774	1000.0	0.054240003	1.9894807	11.720988	-1.902686	20000	4.053116e-09	1.3905319	-0.012763847	-0.31394863	0.90762115	0.007260046	0.07775	79.0	12.84804916381836
5	23.791172	1.0447434	25.24329	22.413128	1000.0	0.15876997	2.0950162	12.414471	-1.6716309	24000	0.0	1.5970631	-0.0074123302	-1.0326021	0.87823534	0.0055087833	0.06275	79.0	15.584104299545288
6	23.898607	1.491426	25.19242	21.386003	1000.0	0.2186086	2.7946115	15.071836	-1.8046483	28000	-1.835823e-08	0.7384308	-0.0044007488	-0.31076884	0.8638513	0.016825961	0.24625	4.0	17.645283699035645
7	27.682594	1.6156006	29.622292	25.136469	1000.0	0.56985027	3.0780377	16.75389	-3.2349753	32000	-7.033348e-09	0.8023417	-0.0009065863	-0.2739842	0.8638991	0.019530237	0.329	3.0	19.704673528671265
8	27.07565	1.035023	28.458544	25.856068	1000.0	1.808458	3.4883711	18.125685	-2.5017948	36000	-1.4305115e-09	1.7393409	-0.01034436	-0.8133205	0.8640923	0.0058943396	0.04775	79.0	22.395867109298706
9	28.666388	2.9014633	30.933153	23.704977	1000.0	1.0130513	2.9324114	18.322529	-1.3257234	40000	9.298325e-09	0.6984938	-0.009807804	-0.18304533	0.8395703	0.008267067	0.05175	79.0	24.975525617599487
10	30.384457	3.5183246	33.001118	24.412453	1000.0	1.3353302	2.7479749	18.392328	-1.1713183	44000	1.1563301e-08	0.54584485	-0.009551157	-0.12695205	0.82843775	0.004960418	0.05175	79.0	28.075993299484253
11	35.35342	0.49174717	35.917923	34.6535	1000.0	1.304951	2.9016469	19.199858	-2.0297806	48000	5.841255e-09	0.6685759	-0.013099532	-0.22418687	0.8253081	0.008808539	0.077	79.0	30.736936330795288
