Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.6120314	4.72843	27.204714	-9.753024	17.69469	-0.102291256	0.2303105	0.49447978	-0.78470194	4000	-1.7881393e-09	13.335565	-0.028534956	-2.196784	0.91894394	0.01762185	0.22325	6.0	2.8427505493164062
1	3.0261867	5.8900065	31.16032	-9.114668	19.55392	-0.71310115	1.037975	2.7745945	-2.6031692	8000	-7.867813e-09	20.001202	-0.02741361	-3.8317795	0.9177503	0.015117223	0.13025	5.0	5.942831754684448
2	7.0718803	10.863369	80.3117	-3.7181184	23.656626	1.2416532	1.8036503	5.1834803	-3.4816995	12000	1.9669534e-08	77.85141	-0.024479086	-14.718716	0.91710895	0.018316327	0.274	8.0	9.211622953414917
3	13.116322	13.544519	71.17356	-3.0293303	30.037878	4.6569023	3.1660423	9.302719	-4.7935066	16000	2.2292138e-08	91.59761	-0.026282553	-14.183968	0.9160604	0.016460832	0.225	8.0	12.459471940994263
4	29.087023	28.412289	173.025	-0.3497812	43.511112	8.834047	3.3649514	12.548648	-6.0962005	20000	2.8669835e-08	439.8346	-0.01849625	-92.92322	0.9145915	0.016222257	0.25075	10.0	16.260329723358154
5	58.531723	54.11575	203.3024	5.8704395	64.5	14.490048	6.25185	18.84774	-14.049673	24000	8.8214875e-09	1232.6813	-0.01315042	-232.35388	0.91280997	0.015503056	0.20525	13.0	19.962052583694458
6	88.66543	68.464905	228.0726	7.2575107	81.520836	21.494274	8.094901	25.635996	-23.16636	28000	-5.3226948e-08	1695.2834	-0.031402953	-271.09167	0.9110384	0.011673656	0.15975	79.0	23.639047145843506
7	112.98468	75.615486	267.73297	4.4530945	93.21429	27.218435	8.8940935	31.578148	-16.835218	32000	-2.8043985e-08	2096.9846	-0.012647869	-306.23218	0.89668727	0.015307885	0.16	12.0	26.288344621658325
8	164.00551	78.56081	286.00446	12.500209	113.314285	34.424183	8.839561	36.70623	-34.0298	36000	-4.7624113e-08	2805.288	-0.029253364	-412.74927	0.89598054	0.009312545	0.15225	79.0	30.0322687625885
9	171.42206	82.23508	287.70227	-0.38951376	128.56667	37.023212	14.457755	42.184906	-38.27379	40000	-3.0994414e-08	2465.1472	-0.03244539	-320.9397	0.8922076	0.015020962	0.1605	77.0	33.060131788253784
